sex,length_standardized,length_mm,diameter_standardized,diameter_mm,height_standardized,height_mm,whole_weight_standardized,whole_weight_g,no_rings,age_years
M,0.425,85,0.335,33.5,0.1,20,0.4085,81.7,9,10.5
M,0.54,108,0.41,41,0.13,26,0.56,112,7,8.5
M,0.505,101,0.395,39.5,0.125,25,0.635,127,9,10.5
M,0.535,107,0.44,44,0.165,33,0.875,175,10,11.5
F,0.43,86,0.35,35,0.09,18,0.397,79.4,9,10.5
M,0.55,110,0.435,43.5,0.11,22,0.806,161.2,9,10.5
F,0.34,68,0.255,25.5,0.085,17,0.204,40.8,6,7.5
I,0.275,55,0.2,20,0.065,13,0.1165,23.3,7,8.5
F,0.335,67,0.22,22,0.07,14,0.17,34,6,7.5
M,0.64,128,0.49,49,0.14,28,1.194,238.8,15,16.5
F,0.55,110,0.44,44,0.125,25,0.765,153,9,10.5
F,0.64,128,0.475,47.5,0.19,38,1.151,230.2,13,14.5
F,0.545,109,0.41,41,0.115,23,0.6765,135.3,9,10.5
F,0.64,128,0.54,54,0.175,35,1.571,314.2,18,19.5
M,0.605,121,0.49,49,0.155,31,1.153,230.6,15,16.5
M,0.605,121,0.47,47,0.115,23,1.114,222.8,15,16.5
M,0.56,112,0.45,45,0.155,31,0.9125,182.5,10,11.5
F,0.57,114,0.465,46.5,0.155,31,0.872,174.4,14,15.5
M,0.525,105,0.405,40.5,0.16,32,0.792,158.4,13,14.5
F,0.505,101,0.405,40.5,0.18,36,0.606,121.2,11,12.5
M,0.35,70,0.265,26.5,0.09,18,0.2265,45.3,6,7.5
M,0.45,90,0.355,35.5,0.12,24,0.3955,79.1,9,10.5
I,0.51,102,0.405,40.5,0.12,24,0.61,122,11,12.5
F,0.49,98,0.38,38,0.13,26,0.539,107.8,12,13.5
F,0.505,101,0.41,41,0.135,27,0.657,131.4,15,16.5
M,0.38,76,0.3,30,0.1,20,0.2505,50.1,8,9.5
I,0.27,54,0.195,19.5,0.07,14,0.102,20.4,8,9.5
F,0.37,74,0.295,29.5,0.1,20,0.2685,53.7,7,8.5
M,0.5,100,0.385,38.5,0.135,27,0.551,110.2,11,12.5
M,0.645,129,0.505,50.5,0.165,33,1.307,261.4,10,11.5
M,0.565,113,0.44,44,0.115,23,0.9185,183.7,11,12.5
F,0.67,134,0.545,54.5,0.175,35,1.707,341.4,13,14.5
F,0.59,118,0.415,41.5,0.15,30,0.8805,176.1,11,12.5
F,0.47,94,0.36,36,0.11,22,0.4965,99.3,6,7.5
F,0.51,102,0.385,38.5,0.135,27,0.632,126.4,8,9.5
M,0.72,144,0.575,57.5,0.23,46,2.2695,453.9,16,17.5
M,0.55,110,0.405,40.5,0.15,30,0.9235,184.7,7,8.5
I,0.2,40,0.145,14.5,0.025,5,0.0345,6.9,5,6.5
M,0.65,130,0.515,51.5,0.18,36,1.3315,266.3,13,14.5
F,0.525,105,0.405,40.5,0.115,23,0.72,144,14,15.5
M,0.565,113,0.435,43.5,0.185,37,1.032,206.4,20,21.5
F,0.61,122,0.47,47,0.16,32,1.017,203.4,12,13.5
F,0.545,109,0.405,40.5,0.175,35,0.98,196,18,19.5
I,0.325,65,0.245,24.5,0.075,15,0.1495,29.9,5,6.5
I,0.31,62,0.235,23.5,0.075,15,0.1515,30.3,7,8.5
M,0.45,90,0.335,33.5,0.14,28,0.478,95.6,11,12.5
F,0.49,98,0.38,38,0.155,31,0.578,115.6,9,10.5
F,0.505,101,0.405,40.5,0.16,32,0.6835,136.7,10,11.5
F,0.385,77,0.3,30,0.1,20,0.2725,54.5,6,7.5
F,0.62,124,0.485,48.5,0.22,44,1.511,302.2,17,18.5
F,0.635,127,0.505,50.5,0.185,37,1.3035,260.7,17,18.5
F,0.665,133,0.53,53,0.185,37,1.3955,279.1,15,16.5
M,0.335,67,0.265,26.5,0.095,19,0.1975,39.5,9,10.5
I,0.295,59,0.215,21.5,0.075,15,0.116,23.2,8,9.5
I,0.48,96,0.38,38,0.125,25,0.523,104.6,15,16.5
I,0.32,64,0.25,25,0.08,16,0.1565,31.3,9,10.5
I,0.43,86,0.34,34,0.125,25,0.384,76.8,14,15.5
M,0.565,113,0.45,45,0.14,28,1.0055,201.1,12,13.5
F,0.6,120,0.48,48,0.165,33,1.1345,226.9,10,11.5
F,0.585,117,0.46,46,0.17,34,1.0835,216.7,14,15.5
F,0.555,111,0.42,42,0.14,28,0.868,173.6,13,14.5
F,0.57,114,0.495,49.5,0.16,32,1.0915,218.3,14,15.5
F,0.62,124,0.485,48.5,0.175,35,1.271,254.2,11,12.5
M,0.63,126,0.51,51,0.19,38,1.4985,299.7,16,17.5
M,0.425,85,0.34,34,0.12,24,0.388,77.6,10,11.5
F,0.64,128,0.505,50.5,0.19,38,1.2355,247.1,14,15.5
M,0.675,135,0.525,52.5,0.175,35,1.402,280.4,16,17.5
M,0.5,100,0.4,40,0.145,29,0.6025,120.5,11,12.5
M,0.385,77,0.305,30.5,0.09,18,0.2775,55.5,9,10.5
M,0.52,104,0.435,43.5,0.195,39,0.973,194.6,18,19.5
M,0.52,104,0.415,41.5,0.175,35,0.753,150.6,8,9.5
M,0.64,128,0.525,52.5,0.2,40,1.3765,275.3,16,17.5
I,0.44,88,0.35,35,0.12,24,0.375,75,9,10.5
F,0.42,84,0.32,32,0.13,26,0.4135,82.7,10,11.5
F,0.45,90,0.35,35,0.135,27,0.56,112,13,14.5
I,0.42,84,0.325,32.5,0.125,25,0.3915,78.3,9,10.5
F,0.64,128,0.505,50.5,0.19,38,1.2765,255.3,12,13.5
M,0.57,114,0.455,45.5,0.15,30,0.96,192,11,12.5
M,0.41,82,0.325,32.5,0.12,24,0.3745,74.9,12,13.5
M,0.485,97,0.41,41,0.15,30,0.696,139.2,13,14.5
F,0.61,122,0.48,48,0.19,38,1.2955,259.1,12,13.5
F,0.59,118,0.485,48.5,0.205,41,1.2315,246.3,13,14.5
M,0.665,133,0.535,53.5,0.155,31,1.383,276.6,14,15.5
I,0.345,69,0.285,28.5,0.1,20,0.2225,44.5,8,9.5
M,0.635,127,0.51,51,0.155,31,1.156,231.2,18,19.5
M,0.695,139,0.53,53,0.15,30,1.477,295.4,14,15.5
F,0.69,138,0.54,54,0.185,37,1.5715,314.3,15,16.5
M,0.555,111,0.435,43.5,0.135,27,0.858,171.6,15,16.5
M,0.65,130,0.525,52.5,0.19,38,1.4995,299.9,14,15.5
M,0.635,127,0.48,48,0.19,38,1.467,293.4,15,16.5
F,0.655,131,0.51,51,0.16,32,1.092,218.4,14,15.5
F,0.69,138,0.555,55.5,0.205,41,1.8165,363.3,19,20.5
F,0.695,139,0.55,55,0.16,32,1.6365,327.3,13,14.5
M,0.55,110,0.435,43.5,0.16,32,0.906,181.2,13,14.5
F,0.61,122,0.495,49.5,0.19,38,1.213,242.6,15,16.5
M,0.595,119,0.5,50,0.165,33,1.06,212,11,12.5
M,0.3,60,0.24,24,0.09,18,0.161,32.2,6,7.5
F,0.435,87,0.35,35,0.125,25,0.459,91.8,9,10.5
I,0.455,91,0.375,37.5,0.125,25,0.533,106.6,8,9.5
M,0.48,96,0.38,38,0.13,26,0.6175,123.5,12,13.5
I,0.43,86,0.35,35,0.105,21,0.366,73.2,6,7.5
F,0.435,87,0.35,35,0.105,21,0.4195,83.9,7,8.5
I,0.3,60,0.23,23,0.075,15,0.15,30,5,6.5
F,0.575,115,0.48,48,0.15,30,0.8745,174.9,12,13.5
M,0.505,101,0.385,38.5,0.11,22,0.655,131,9,10.5
M,0.455,91,0.375,37.5,0.125,25,0.484,96.8,7,8.5
M,0.64,128,0.505,50.5,0.165,33,1.4435,288.7,18,19.5
F,0.56,112,0.435,43.5,0.125,25,0.8775,175.5,13,14.5
F,0.645,129,0.52,52,0.19,38,1.3105,262.1,12,13.5
F,0.595,119,0.485,48.5,0.145,29,1.2515,250.3,14,15.5
M,0.565,113,0.45,45,0.115,23,0.9085,181.7,17,18.5
F,0.655,131,0.5,50,0.14,28,1.1705,234.1,12,13.5
M,0.48,96,0.38,38,0.135,27,0.528,105.6,14,15.5
F,0.495,99,0.385,38.5,0.135,27,0.6625,132.5,11,12.5
F,0.4,80,0.335,33.5,0.115,23,0.4335,86.7,10,11.5
M,0.41,82,0.31,31,0.125,25,0.3595,71.9,11,12.5
F,0.595,119,0.465,46.5,0.145,29,1.107,221.4,12,13.5
F,0.625,125,0.475,47.5,0.13,26,0.8595,171.9,13,14.5
M,0.52,104,0.425,42.5,0.155,31,0.7735,154.7,17,18.5
M,0.465,93,0.36,36,0.125,25,0.4365,87.3,11,12.5
F,0.475,95,0.375,37.5,0.14,28,0.501,100.2,13,14.5
F,0.5,100,0.405,40.5,0.14,28,0.6735,134.7,18,19.5
M,0.46,92,0.355,35.5,0.11,22,0.415,83,12,13.5
M,0.485,97,0.385,38.5,0.125,25,0.4775,95.5,12,13.5
F,0.465,93,0.39,39,0.14,28,0.5555,111.1,15,16.5
M,0.525,105,0.415,41.5,0.16,32,0.6445,128.9,12,13.5
F,0.655,131,0.53,53,0.19,38,1.428,285.6,18,19.5
M,0.69,138,0.54,54,0.185,37,1.6195,323.9,24,25.5
M,0.55,110,0.45,45,0.17,34,0.81,162,11,12.5
F,0.58,116,0.475,47.5,0.165,33,1.0385,207.7,13,14.5
F,0.59,118,0.475,47.5,0.155,31,0.9715,194.3,11,12.5
M,0.565,113,0.44,44,0.155,31,0.868,173.6,11,12.5
F,0.665,133,0.57,57,0.185,37,1.522,304.4,13,14.5
F,0.62,124,0.51,51,0.175,35,1.1255,225.1,14,15.5
M,0.55,110,0.46,46,0.13,26,0.7085,141.7,12,13.5
F,0.605,121,0.475,47.5,0.145,29,1.0185,203.7,15,16.5
M,0.535,107,0.42,42,0.16,32,0.72,144,15,16.5
F,0.51,102,0.395,39.5,0.12,24,0.6175,123.5,12,13.5
M,0.53,106,0.405,40.5,0.13,26,0.738,147.6,9,10.5
F,0.495,99,0.375,37.5,0.15,30,0.597,119.4,11,12.5
M,0.575,115,0.455,45.5,0.185,37,1.156,231.2,13,14.5
F,0.63,126,0.5,50,0.16,32,1.22,244,14,15.5
M,0.59,118,0.45,45,0.12,24,0.7485,149.7,14,15.5
F,0.605,121,0.485,48.5,0.165,33,1.0735,214.7,14,15.5
M,0.645,129,0.5,50,0.19,38,1.229,245.8,17,18.5
F,0.62,124,0.5,50,0.175,35,1.146,229.2,13,14.5
M,0.605,121,0.485,48.5,0.175,35,1.145,229,16,17.5
F,0.615,123,0.5,50,0.205,41,1.1055,221.1,16,17.5
F,0.66,132,0.525,52.5,0.19,38,1.67,334,11,12.5
F,0.71,142,0.575,57.5,0.175,35,1.555,311,15,16.5
F,0.565,113,0.45,45,0.185,37,0.9285,185.7,12,13.5
F,0.57,114,0.435,43.5,0.14,28,0.8085,161.7,16,17.5
I,0.6,120,0.445,44.5,0.175,35,1.057,211.4,16,17.5
I,0.41,82,0.3,30,0.115,23,0.2595,51.9,10,11.5
F,0.45,90,0.325,32.5,0.135,27,0.438,87.6,9,10.5
M,0.275,55,0.2,20,0.08,16,0.099,19.8,5,6.5
I,0.485,97,0.355,35.5,0.12,24,0.5085,101.7,9,10.5
F,0.62,124,0.485,48.5,0.165,33,1.166,233.2,13,14.5
F,0.48,96,0.38,38,0.135,27,0.507,101.4,12,13.5
F,0.505,101,0.41,41,0.15,30,0.6345,126.9,17,18.5
M,0.4,80,0.31,31,0.11,22,0.314,62.8,11,12.5
I,0.45,90,0.355,35.5,0.115,23,0.4385,87.7,11,12.5
M,0.35,70,0.26,26,0.09,18,0.195,39,9,10.5
M,0.44,88,0.35,35,0.14,28,0.451,90.2,16,17.5
M,0.265,53,0.2,20,0.065,13,0.084,16.8,7,8.5
M,0.165,33,0.125,12.5,0.04,8,0.0245,4.9,4,5.5
F,0.705,141,0.555,55.5,0.2,40,1.4685,293.7,19,20.5
F,0.535,107,0.425,42.5,0.155,31,0.7765,155.3,16,17.5
I,0.49,98,0.385,38.5,0.14,28,0.5425,108.5,11,12.5
F,0.48,96,0.37,37,0.13,26,0.5885,117.7,15,16.5
F,0.395,79,0.3,30,0.105,21,0.3375,67.5,12,13.5
I,0.375,75,0.28,28,0.1,20,0.2565,51.3,12,13.5
M,0.345,69,0.265,26.5,0.09,18,0.163,32.6,10,11.5
I,0.55,110,0.415,41.5,0.135,27,0.8095,161.9,12,13.5
I,0.635,127,0.48,48,0.2,40,1.3655,273.1,16,17.5
I,0.575,115,0.475,47.5,0.17,34,0.967,193.4,13,14.5
F,0.545,109,0.435,43.5,0.15,30,0.6855,137.1,10,11.5
F,0.385,77,0.305,30.5,0.125,25,0.314,62.8,10,11.5
F,0.51,102,0.34,34,0.18,36,0.7005,140.1,11,12.5
I,0.44,88,0.34,34,0.125,25,0.4895,97.9,13,14.5
I,0.45,90,0.36,36,0.125,25,0.45,90,12,13.5
I,0.39,78,0.3,30,0.105,21,0.259,51.8,8,9.5
F,0.425,85,0.325,32.5,0.135,27,0.382,76.4,12,13.5
F,0.45,90,0.35,35,0.125,25,0.4435,88.7,11,12.5
I,0.66,132,0.525,52.5,0.18,36,1.6935,338.7,15,16.5
F,0.685,137,0.525,52.5,0.175,35,1.71,342,16,17.5
F,0.585,117,0.475,47.5,0.185,37,0.8575,171.5,12,13.5
I,0.54,108,0.435,43.5,0.145,29,0.97,194,17,18.5
F,0.49,98,0.39,39,0.135,27,0.59,118,12,13.5
M,0.43,86,0.33,33,0.095,19,0.34,68,14,15.5
F,0.455,91,0.365,36.5,0.11,22,0.385,77,13,14.5
I,0.495,99,0.38,38,0.145,29,0.515,103,13,14.5
F,0.48,96,0.38,38,0.145,29,0.59,118,12,13.5
I,0.47,94,0.4,40,0.16,32,0.51,102,14,15.5
M,0.415,83,0.32,32,0.1,20,0.3005,60.1,11,12.5
I,0.49,98,0.385,38.5,0.115,23,0.683,136.6,13,14.5
I,0.47,94,0.375,37.5,0.105,21,0.468,93.6,10,11.5
I,0.445,89,0.345,34.5,0.13,26,0.4075,81.5,11,12.5
F,0.51,102,0.38,38,0.13,26,0.584,116.8,13,14.5
F,0.52,104,0.405,40.5,0.145,29,0.829,165.8,15,16.5
I,0.475,95,0.365,36.5,0.14,28,0.4545,90.9,8,9.5
F,0.455,91,0.36,36,0.11,22,0.4385,87.7,10,11.5
I,0.435,87,0.34,34,0.11,22,0.407,81.4,10,11.5
I,0.39,78,0.3,30,0.1,20,0.3085,61.7,6,7.5
I,0.375,75,0.285,28.5,0.1,20,0.239,47.8,8,9.5
M,0.285,57,0.215,21.5,0.075,15,0.106,21.2,5,6.5
I,0.58,116,0.445,44.5,0.17,34,1.178,235.6,20,21.5
F,0.58,116,0.44,44,0.175,35,1.073,214.6,19,20.5
M,0.41,82,0.315,31.5,0.095,19,0.306,61.2,9,10.5
M,0.41,82,0.3,30,0.1,20,0.301,60.2,9,10.5
I,0.54,108,0.405,40.5,0.15,30,0.7585,151.7,10,11.5
M,0.33,66,0.245,24.5,0.085,17,0.171,34.2,11,12.5
I,0.44,88,0.31,31,0.115,23,0.3625,72.5,11,12.5
M,0.28,56,0.21,21,0.065,13,0.0905,18.1,5,6.5
I,0.59,118,0.465,46.5,0.195,39,1.0885,217.7,17,18.5
I,0.61,122,0.48,48,0.165,33,1.097,219.4,13,14.5
I,0.61,122,0.46,46,0.17,34,1.278,255.6,17,18.5
M,0.455,91,0.345,34.5,0.125,25,0.44,88,12,13.5
M,0.33,66,0.235,23.5,0.09,18,0.163,32.6,10,11.5
I,0.44,88,0.33,33,0.135,27,0.522,104.4,16,17.5
M,0.54,108,0.405,40.5,0.155,31,0.9715,194.3,19,20.5
F,0.475,95,0.375,37.5,0.125,25,0.588,117.6,10,11.5
F,0.46,92,0.33,33,0.15,30,0.5325,106.5,10,11.5
I,0.31,62,0.235,23.5,0.09,18,0.127,25.4,6,7.5
I,0.255,51,0.19,19,0.07,14,0.0815,16.3,5,6.5
M,0.335,67,0.255,25.5,0.075,15,0.1635,32.7,8,9.5
I,0.295,59,0.21,21,0.08,16,0.1,20,8,9.5
I,0.19,38,0.13,13,0.045,9,0.0265,5.3,5,6.5
M,0.545,109,0.435,43.5,0.165,33,0.9955,199.1,19,20.5
M,0.495,99,0.4,40,0.12,24,0.6605,132.1,15,16.5
M,0.5,100,0.375,37.5,0.13,26,0.721,144.2,14,15.5
F,0.305,61,0.225,22.5,0.07,14,0.1485,29.7,7,8.5
F,0.475,95,0.35,35,0.115,23,0.487,97.4,13,14.5
M,0.515,103,0.4,40,0.125,25,0.955,191,13,14.5
M,0.545,109,0.41,41,0.145,29,0.873,174.6,18,19.5
M,0.74,148,0.535,53.5,0.185,37,1.65,330,13,14.5
M,0.565,113,0.465,46.5,0.15,30,1.1285,225.7,16,17.5
M,0.56,112,0.44,44,0.16,32,1.1115,222.3,10,11.5
M,0.545,109,0.42,42,0.125,25,0.9745,194.9,13,14.5
M,0.645,129,0.515,51.5,0.185,37,1.4605,292.1,19,20.5
M,0.575,115,0.435,43.5,0.13,26,1.0105,202.1,10,11.5
M,0.62,124,0.48,48,0.16,32,1.0765,215.3,13,14.5
F,0.605,121,0.45,45,0.165,33,1.2225,244.5,13,14.5
M,0.605,121,0.475,47.5,0.16,32,1.616,323.2,18,19.5
F,0.475,95,0.375,37.5,0.15,30,0.559,111.8,12,13.5
M,0.365,73,0.285,28.5,0.085,17,0.2205,44.1,9,10.5
F,0.46,92,0.35,35,0.115,23,0.44,88,8,9.5
M,0.53,106,0.43,43,0.135,27,0.879,175.8,10,11.5
M,0.48,96,0.395,39.5,0.15,30,0.6815,136.3,18,19.5
M,0.455,91,0.345,34.5,0.15,30,0.5795,115.9,13,14.5
I,0.35,70,0.265,26.5,0.11,22,0.209,41.8,9,10.5
M,0.37,74,0.28,28,0.105,21,0.224,44.8,8,9.5
I,0.34,68,0.25,25,0.075,15,0.1765,35.3,7,8.5
I,0.35,70,0.28,28,0.075,15,0.196,39.2,8,9.5
I,0.35,70,0.265,26.5,0.08,16,0.192,38.4,6,7.5
I,0.39,78,0.315,31.5,0.09,18,0.3095,61.9,7,8.5
I,0.395,79,0.31,31,0.095,19,0.313,62.6,7,8.5
I,0.415,83,0.31,31,0.105,21,0.3595,71.9,6,7.5
I,0.43,86,0.32,32,0.1,20,0.3855,77.1,7,8.5
I,0.48,96,0.355,35.5,0.115,23,0.5785,115.7,8,9.5
M,0.49,98,0.395,39.5,0.12,24,0.674,134.8,9,10.5
F,0.49,98,0.37,37,0.105,21,0.5265,105.3,7,8.5
F,0.56,112,0.465,46.5,0.16,32,1.0315,206.3,9,10.5
M,0.56,112,0.45,45,0.14,28,0.9,180,7,8.5
M,0.58,116,0.46,46,0.15,30,1.0165,203.3,9,10.5
F,0.58,116,0.48,48,0.18,36,1.2495,249.9,8,9.5
M,0.59,118,0.47,47,0.135,27,1.1685,233.7,8,9.5
F,0.595,119,0.475,47.5,0.165,33,1.148,229.6,10,11.5
M,0.6,120,0.475,47.5,0.15,30,1.089,217.8,11,12.5
M,0.61,122,0.47,47,0.155,31,1.0325,206.5,9,10.5
F,0.63,126,0.475,47.5,0.15,30,1.172,234.4,11,12.5
M,0.64,128,0.51,51,0.17,34,1.3715,274.3,10,11.5
F,0.65,130,0.545,54.5,0.185,37,1.5055,301.1,10,11.5
M,0.71,142,0.55,55,0.2,40,1.9045,380.9,13,14.5
M,0.74,148,0.605,60.5,0.2,40,2.4925,498.5,13,14.5
I,0.25,50,0.18,18,0.065,13,0.0805,16.1,4,5.5
I,0.28,56,0.21,21,0.065,13,0.111,22.2,6,7.5
I,0.325,65,0.24,24,0.075,15,0.152,30.4,6,7.5
I,0.35,70,0.265,26.5,0.095,19,0.199,39.8,5,6.5
I,0.36,72,0.27,27,0.09,18,0.219,43.8,6,7.5
I,0.365,73,0.27,27,0.105,21,0.2155,43.1,6,7.5
I,0.37,74,0.28,28,0.09,18,0.2565,51.3,6,7.5
I,0.375,75,0.285,28.5,0.09,18,0.257,51.4,7,8.5
I,0.38,76,0.275,27.5,0.095,19,0.2505,50.1,6,7.5
I,0.395,79,0.3,30,0.09,18,0.279,55.8,8,9.5
I,0.43,86,0.335,33.5,0.105,21,0.378,75.6,6,7.5
I,0.44,88,0.35,35,0.125,25,0.456,91.2,8,9.5
I,0.465,93,0.37,37,0.1,20,0.5055,101.1,7,8.5
F,0.465,93,0.355,35.5,0.115,23,0.4705,94.1,7,8.5
M,0.48,96,0.37,37,0.13,26,0.643,128.6,8,9.5
I,0.485,97,0.37,37,0.1,20,0.513,102.6,7,8.5
F,0.49,98,0.4,40,0.115,23,0.569,113.8,9,10.5
I,0.495,99,0.4,40,0.145,29,0.578,115.6,8,9.5
I,0.5,100,0.385,38.5,0.11,22,0.596,119.2,8,9.5
F,0.505,101,0.39,39,0.12,24,0.5725,114.5,8,9.5
M,0.52,104,0.39,39,0.12,24,0.6435,128.7,7,8.5
M,0.52,104,0.395,39.5,0.125,25,0.8115,162.3,7,8.5
F,0.525,105,0.44,44,0.125,25,0.7115,142.3,7,8.5
M,0.55,110,0.44,44,0.155,31,0.9155,183.1,8,9.5
F,0.555,111,0.44,44,0.145,29,0.8815,176.3,8,9.5
F,0.555,111,0.42,42,0.11,22,0.931,186.2,8,9.5
F,0.575,115,0.46,46,0.165,33,1.065,213,8,9.5
M,0.6,120,0.475,47.5,0.155,31,1.1385,227.7,9,10.5
F,0.61,122,0.48,48,0.16,32,1.234,246.8,12,13.5
F,0.61,122,0.495,49.5,0.175,35,1.2635,252.7,10,11.5
F,0.61,122,0.47,47,0.16,32,1.0745,214.9,8,9.5
M,0.615,123,0.505,50.5,0.19,38,1.403,280.6,8,9.5
M,0.62,124,0.485,48.5,0.165,33,1.1325,226.5,9,10.5
F,0.625,125,0.495,49.5,0.16,32,1.1115,222.3,11,12.5
F,0.625,125,0.47,47,0.17,34,1.255,251,10,11.5
M,0.625,125,0.485,48.5,0.17,34,1.437,287.4,11,12.5
M,0.635,127,0.495,49.5,0.155,31,1.3635,272.7,10,11.5
F,0.64,128,0.48,48,0.195,39,1.1435,228.7,9,10.5
M,0.64,128,0.5,50,0.17,34,1.4545,290.9,9,10.5
M,0.66,132,0.525,52.5,0.18,36,1.478,295.6,10,11.5
F,0.665,133,0.52,52,0.165,33,1.6885,337.7,11,12.5
F,0.715,143,0.585,58.5,0.23,46,2.0725,414.5,10,11.5
M,0.72,144,0.565,56.5,0.2,40,1.787,357.4,11,12.5
F,0.725,145,0.58,58,0.185,37,1.523,304.6,9,10.5
I,0.165,33,0.12,12,0.05,10,0.021,4.2,3,4.5
I,0.21,42,0.15,15,0.055,11,0.0455,9.1,4,5.5
I,0.355,71,0.265,26.5,0.085,17,0.2435,48.7,6,7.5
I,0.4,80,0.315,31.5,0.085,17,0.2675,53.5,6,7.5
I,0.4,80,0.29,29,0.1,20,0.258,51.6,7,8.5
I,0.4,80,0.3,30,0.11,22,0.2985,59.7,6,7.5
I,0.435,87,0.335,33.5,0.11,22,0.411,82.2,7,8.5
I,0.44,88,0.33,33,0.11,22,0.38,76,7,8.5
I,0.45,90,0.34,34,0.105,21,0.4385,87.7,8,9.5
I,0.465,93,0.345,34.5,0.105,21,0.4015,80.3,6,7.5
I,0.47,94,0.355,35.5,0.145,29,0.4485,89.7,7,8.5
I,0.47,94,0.355,35.5,0.115,23,0.4155,83.1,7,8.5
I,0.475,95,0.42,42,0.16,32,0.7095,141.9,8,9.5
I,0.485,97,0.37,37,0.115,23,0.637,127.4,7,8.5
F,0.505,101,0.475,47.5,0.16,32,1.1155,223.1,8,9.5
I,0.51,102,0.405,40.5,0.13,26,0.599,119.8,8,9.5
I,0.52,104,0.38,38,0.13,26,0.5345,106.9,8,9.5
F,0.53,106,0.42,42,0.14,28,0.627,125.4,8,9.5
M,0.535,107,0.42,42,0.16,32,0.7465,149.3,10,11.5
M,0.55,110,0.44,44,0.16,32,0.985,197,8,9.5
M,0.555,111,0.44,44,0.145,29,0.85,170,8,9.5
M,0.555,111,0.44,44,0.15,30,0.838,167.6,8,9.5
F,0.555,111,0.43,43,0.135,27,0.812,162.4,9,10.5
M,0.56,112,0.415,41.5,0.13,26,0.7615,152.3,8,9.5
M,0.575,115,0.44,44,0.145,29,0.87,174,8,9.5
F,0.585,117,0.45,45,0.145,29,0.9835,196.7,9,10.5
M,0.59,118,0.46,46,0.145,29,0.929,185.8,10,11.5
F,0.595,119,0.47,47,0.165,33,1.0155,203.1,9,10.5
M,0.6,120,0.41,41,0.145,29,0.939,187.8,8,9.5
M,0.6,120,0.475,47.5,0.16,32,1.164,232.8,12,13.5
M,0.61,122,0.47,47,0.175,35,1.214,242.8,10,11.5
F,0.615,123,0.49,49,0.19,38,1.1345,226.9,11,12.5
F,0.62,124,0.51,51,0.18,36,1.233,246.6,10,11.5
M,0.625,125,0.495,49.5,0.18,36,1.0815,216.3,10,11.5
M,0.625,125,0.47,47,0.175,35,1.179,235.8,9,10.5
F,0.64,128,0.5,50,0.165,33,1.1635,232.7,11,12.5
F,0.64,128,0.475,47.5,0.175,35,1.1545,230.9,9,10.5
F,0.645,129,0.52,52,0.175,35,1.3345,266.9,10,11.5
M,0.65,130,0.505,50.5,0.18,36,1.469,293.8,9,10.5
M,0.655,131,0.52,52,0.18,36,1.492,298.4,11,12.5
F,0.655,131,0.54,54,0.175,35,1.5585,311.7,11,12.5
F,0.66,132,0.5,50,0.175,35,1.3275,265.5,9,10.5
M,0.67,134,0.525,52.5,0.18,36,1.6615,332.3,10,11.5
F,0.69,138,0.525,52.5,0.19,38,1.492,298.4,12,13.5
F,0.7,140,0.575,57.5,0.2,40,1.7365,347.3,11,12.5
F,0.7,140,0.56,56,0.175,35,1.6605,332.1,11,12.5
M,0.71,142,0.57,57,0.195,39,1.348,269.6,11,12.5
M,0.715,143,0.545,54.5,0.18,36,1.7405,348.1,10,11.5
F,0.72,144,0.545,54.5,0.185,37,1.7185,343.7,11,12.5
I,0.215,43,0.15,15,0.055,11,0.041,8.2,3,4.5
I,0.24,48,0.185,18.5,0.06,12,0.0655,13.1,4,5.5
I,0.26,52,0.205,20.5,0.07,14,0.097,19.4,4,5.5
I,0.32,64,0.24,24,0.085,17,0.131,26.2,6,7.5
I,0.33,66,0.23,23,0.085,17,0.1695,33.9,6,7.5
I,0.335,67,0.26,26,0.085,17,0.192,38.4,6,7.5
I,0.35,70,0.26,26,0.09,18,0.1765,35.3,7,8.5
I,0.35,70,0.265,26.5,0.085,17,0.1735,34.7,6,7.5
I,0.36,72,0.265,26.5,0.075,15,0.1785,35.7,6,7.5
I,0.36,72,0.265,26.5,0.09,18,0.2055,41.1,7,8.5
I,0.365,73,0.275,27.5,0.09,18,0.2345,46.9,7,8.5
I,0.38,76,0.285,28.5,0.09,18,0.2305,46.1,7,8.5
I,0.4,80,0.31,31,0.115,23,0.314,62.8,6,7.5
I,0.4,80,0.315,31.5,0.09,18,0.33,66,6,7.5
I,0.4,80,0.265,26.5,0.1,20,0.2775,55.5,9,10.5
I,0.425,85,0.325,32.5,0.11,22,0.405,81,8,9.5
I,0.43,86,0.325,32.5,0.105,21,0.309,61.8,6,7.5
M,0.435,87,0.335,33.5,0.11,22,0.4385,87.7,7,8.5
I,0.435,87,0.34,34,0.12,24,0.396,79.2,8,9.5
I,0.445,89,0.355,35.5,0.095,19,0.3615,72.3,8,9.5
I,0.45,90,0.35,35,0.11,22,0.514,102.8,8,9.5
I,0.455,91,0.435,43.5,0.11,22,0.4265,85.3,8,9.5
I,0.46,92,0.34,34,0.09,18,0.384,76.8,8,9.5
I,0.475,95,0.355,35.5,0.125,25,0.4865,97.3,9,10.5
I,0.475,95,0.36,36,0.135,27,0.4355,87.1,8,9.5
I,0.475,95,0.35,35,0.115,23,0.498,99.6,7,8.5
I,0.48,96,0.355,35.5,0.125,25,0.494,98.8,9,10.5
